Day,Month,Hour,League_Rank_1,League_Rank_2,Total_teams,Games_played_1,Games_played_2,Points_1,Points_2,Max_points,Min_points,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Win_Perc_1,Win_Perc_2,Draw_Perc_1,Draw_Perc_2,Avrage_FT_Goal,Average_HT_Goal,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Tue,Weekday_Wed,Result
2,12,12,16,11,18,15,15,13,20,31,8,3,4,8,5,5,5,15,21,22,20,8,34,34,51,2.33,1.5,0,0,0,1,0,0,Away
22,12,13,14,6,18,17,17,18,27,37,10,4,6,7,7,6,4,21,28,26,22,41,27,41,35,3.33,0.83,0,0,1,0,0,0,Away
16,12,13,16,9,18,17,17,12,23,37,10,2,6,9,5,8,4,17,28,26,26,14,27,35,41,3.33,2.16,0,0,0,1,0,0,Draw
16,12,13,18,6,18,17,17,10,27,37,10,1,7,9,7,6,4,15,27,32,21,6,39,33,39,2.83,1.0,0,0,0,1,0,0,Draw
8,12,13,1,7,20,17,17,34,27,34,10,9,7,1,8,3,6,25,34,12,23,52,58,33,13,3.33,1.83,0,0,1,0,0,0,Home
5,12,18,3,1,12,10,10,22,30,30,1,7,1,2,10,0,0,32,48,7,2,90,90,0,11,3.5,1.33,0,0,0,0,0,1,Draw
5,12,10,11,8,12,10,10,4,11,30,1,1,1,8,3,2,5,6,16,24,17,60,30,20,40,3.16,1.5,0,0,0,0,0,1,Away
3,12,18,8,1,20,16,16,25,33,33,10,7,4,5,9,6,1,24,24,24,11,37,59,37,29,1.83,0.66,0,1,0,0,0,0,Draw
2,12,12,15,9,18,15,15,14,22,31,8,3,5,7,5,7,3,13,24,20,22,46,46,46,37,2.66,1.5,0,0,0,1,0,0,Away
1,12,13,11,2,18,21,18,26,38,41,19,7,5,9,11,5,2,30,36,38,16,44,88,22,22,1.83,1.5,0,0,1,0,0,0,Away
5,5,13,4,14,18,34,34,55,36,84,22,15,10,9,9,9,16,64,38,47,52,35,27,19,13,2.83,0.83,0,0,1,0,0,0,Away
12,5,14,1,7,18,34,34,84,51,84,22,27,3,4,15,6,13,92,36,28,36,69,27,20,14,2.33,1.16,0,0,1,0,0,0,Away
5,5,13,12,2,18,34,34,41,63,84,22,10,11,13,18,9,7,43,53,46,37,20,35,35,14,3.0,1.33,0,0,1,0,0,0,Away
12,5,13,2,8,18,34,34,63,49,84,22,18,9,7,14,7,13,53,45,37,45,35,48,20,20,1.5,0.5,0,0,1,0,0,0,Home
12,5,14,5,13,18,34,34,55,39,84,22,15,10,9,10,9,15,58,44,44,54,55,35,15,17,3.66,1.83,0,0,1,0,0,0,Home
5,5,13,13,10,18,34,34,39,43,84,22,10,9,15,10,13,11,44,43,54,46,20,35,15,12,3.16,1.0,0,0,1,0,0,0,Home
12,5,13,3,4,18,34,34,55,55,84,22,15,10,9,15,10,9,66,64,48,47,35,35,14,8,3.0,1.5,0,0,1,0,0,0,Home
5,5,13,11,5,18,34,34,42,55,84,22,10,12,12,15,10,9,37,58,40,44,41,41,27,20,3.5,1.83,0,0,1,0,0,0,Draw
12,5,14,14,11,18,34,34,36,42,84,22,9,9,16,10,12,12,38,37,52,40,41,27,27,41,2.5,1.66,0,0,1,0,0,0,Away
12,5,14,15,12,18,34,34,36,41,84,22,8,12,14,10,11,13,32,43,56,46,14,35,41,41,3.0,1.16,0,0,1,0,0,0,Home
5,5,13,7,3,18,34,34,51,55,84,22,15,6,13,15,10,9,36,66,36,48,27,35,14,48,3.0,1.16,0,0,1,0,0,0,Home
28,7,13,17,4,20,1,1,0,3,3,0,0,0,1,1,0,0,1,2,2,1,18,42,49,18,2.0,0.66,0,0,1,0,0,0,Away
26,8,14,12,14,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,27,69,18,11,2.66,0.83,0,0,0,1,0,0,Home
